year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2018,Winter,"75 - Trash, rubbish area (outside)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,28 - Office,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"25 - Washroom or Bathroom (toilet,restroom/locker room)",15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,64 - Porch or Balcony,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,24 - Cooking Area or Kitchen,3000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,4 - Fire Alarm system operated but failed to alert occupant(s)
2018,Winter,24 - Cooking Area or Kitchen,200,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,24 - Cooking Area or Kitchen,15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,64 - Porch or Balcony,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,64 - Porch or Balcony,1000,0,10 - Spread beyond building of origin,10 - Spread beyond building of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,78 - Attached Deck,1000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,No System,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,24 - Cooking Area or Kitchen,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,61 - Exterior Wall,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,24 - Cooking Area or Kitchen,30000,0,3 - Spread to entire room of origin,3 - Spread to entire room of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,62 - Roof,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,50,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,300,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"12 - Hallway, Corridor",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,24 - Cooking Area or Kitchen,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,0,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,"12 - Hallway, Corridor",100,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,System Presents,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,64 - Porch or Balcony,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",30000,1,3 - Spread to entire room of origin,3 - Spread to entire room of origin,System Presents and Operated,No System,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",20000,0,3 - Spread to entire room of origin,3 - Spread to entire room of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,79 - Other Outside Area,10000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,1000,2,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,"31 - Process Manufacturing (inc manf, prod assembly, repair)",25000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,NA
2018,Winter,"25 - Washroom or Bathroom (toilet,restroom/locker room)",20000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,26 - Sauna,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,9 - Unclassified,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"25 - Washroom or Bathroom (toilet,restroom/locker room)",2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,27 - Laundry Area,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2018,Winter,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,"75 - Trash, rubbish area (outside)",50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,24 - Cooking Area or Kitchen,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,8000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,24 - Cooking Area or Kitchen,2500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,53 - Chimney/Flue Pipe,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2018,Winter,53 - Chimney/Flue Pipe,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,2 - Fire with no evidence from street,NA
2018,Winter,24 - Cooking Area or Kitchen,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,64 - Porch or Balcony,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"11 - Lobby, Entranceway",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,24 - Cooking Area or Kitchen,250,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,97 - Other - unclassified,5000,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,24 - Cooking Area or Kitchen,30000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,67 - Concealed Floor Area,20000,0,"7 - Spread to other floors, confined to building","7 - Spread to other floors, confined to building",No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,99 - Undetermined  (formerly 98),0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,24 - Cooking Area or Kitchen,10000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,NA
2018,Spring,"58 - Ducting - Exhaust (inc cooking, fumes, etc.)",20000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"45 - Supply Storage Room (inc maintenance/office/document storage, et",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"12 - Hallway, Corridor",10000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,29 - Electronic Equipment,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,81 - Engine Area,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1500,2,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"12 - Hallway, Corridor",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",15000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,24 - Cooking Area or Kitchen,10000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,42 - Garage,40000,0,8 - Entire Structure,8 - Entire Structure,No System,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"30 - Sales, Showroom Area",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,24 - Cooking Area or Kitchen,2000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,51 - Elevator (includes shaft),10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Winter,"46 - Product Storage (inc products or materials awaiting manuf, assembly)",3000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,28 - Office,10000,0,3 - Spread to entire room of origin,3 - Spread to entire room of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,33 - Laboratory,2000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"84 - Fuel Systems (eg. fuel tank, etc.)",10000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,97 - Other - unclassified,1500,1,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,9 - Unclassified,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,81 - Engine Area,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
